ExamSet,DifficultyCode,Difficulty,QuestionNumber,Domain,Question,CorrectOptionLetter,RemediationReference
2,C,Difficult,6,Geospatial Data,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. A systematic spatial sample uses points every 1 km. What risk can occur if the phenomenon has a similar periodic pattern?",B,GIS&T BoK remediation: [AM-03-026] Spatial Sampling for Spatial Analysis — https://gistbok-topics.ucgis.org/AM-03-026 | Blueprint domain resource: https://geospacebok.eu/GD
2,C,Difficult,7,Conceptual Foundations,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? Which relationship is topological rather than metric?",C,GIS&T BoK remediation: [FC-05-018] Adjacency and Connectivity — https://gistbok-topics.ucgis.org/FC-05-018 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,8,Data Modeling,"A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. In this context, which statement most accurately describes the main purpose of a database transaction?",C,GIS&T BoK remediation: [DM-06-089] Transaction Management — https://gistbok-topics.ucgis.org/DM-06-089 | Blueprint domain resource: https://geospacebok.eu/DM
2,C,Difficult,9,Cartography & Visualization,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? A dashboard has five coordinated maps and charts but users cannot identify the main message. What design problem is most likely?,C,GIS&T BoK remediation: [CV-03-029] Design and Aesthetics — https://gistbok-topics.ucgis.org/CV-03-029 | Blueprint domain resource: https://geospacebok.eu/CV
2,C,Difficult,10,Cartography & Visualization,A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. Equal-interval classification divides what into equal-width classes?,C,"GIS&T BoK remediation: [CV-03-005] Statistical Mapping (Enumeration, Normalization, Classification) — https://gistbok-topics.ucgis.org/CV-03-005 | Blueprint domain resource: https://geospacebok.eu/CV"
2,C,Difficult,11,Geospatial Data,"The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? A social-media post contains coordinates, but they may indicate where the message was sent rather than where the reported event occurred. What issue is this?",C,GIS&T BoK remediation: [DC-02-004] Social Media Platforms — https://gistbok-topics.ucgis.org/DC-02-004 | Blueprint domain resource: https://geospacebok.eu/GD
2,C,Difficult,12,Thematic & Application Domains,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. A planning agency wants parcels satisfying zoning, minimum area, transit proximity, and flood-risk constraints. Which method is most appropriate?",D,GIS&T BoK remediation: [AM-03-013] Multi-Criteria Evaluation — https://gistbok-topics.ucgis.org/AM-03-013 | Blueprint domain resource: https://geospacebok.eu/TA
2,C,Difficult,13,GI & Society,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? A map is numerically accurate but uses a classification selected to exaggerate a political message. What ethical issue is present?",D,GIS&T BoK remediation: [GS-03-014] GIS and Critical Ethics — https://gistbok-topics.ucgis.org/GS-03-014 | Blueprint domain resource: https://geospacebok.eu/GS
2,C,Difficult,14,Data Modeling,A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. A query asks for parcels intersecting a floodplain. What type of query is this?,D,GIS&T BoK remediation: [DM-03-075] Defining and Designing Spatial Queries — https://gistbok-topics.ucgis.org/DM-03-075 | Blueprint domain resource: https://geospacebok.eu/DM
2,C,Difficult,15,Conceptual Foundations,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? Why are ontologies useful in GIS?,C,GIS&T BoK remediation: [FC-03-001] Foundational Ontologies — https://gistbok-topics.ucgis.org/FC-03-001 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,16,Conceptual Foundations,A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. Longitude expresses angular position east or west of what reference?,D,GIS&T BoK remediation: [DM-05-047] Geographic Coordinate Systems — https://gistbok-topics.ucgis.org/DM-05-047 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,17,Analytical Methods & GeoComputation,The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? A cellular automaton changes each cell state from its current state and neighboring cells over discrete time steps. What type of model is this?,C,GIS&T BoK remediation: [AM-07-069] Cellular Automata — https://gistbok-topics.ucgis.org/AM-07-069 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,18,Analytical Methods & GeoComputation,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. A destination has twice the attractiveness but all else is equal in a simple gravity-style interaction model. What should generally happen to predicted interaction?",D,GIS&T BoK remediation: [AM-03-010] Spatial Interaction — https://gistbok-topics.ucgis.org/AM-03-010 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,19,"Platforms, Sensors, Physics & Image Processing","Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? Which formula correctly defines NDVI?",C,GIS&T BoK remediation: GIS&T BoK | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
2,C,Difficult,20,Thematic & Application Domains,A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. A city uses 311 reports to locate recurring service problems. What should analysts consider before treating report density as true incident density?,A,GIS&T BoK remediation: [CP-03-010] Social Media Analytics — https://gistbok-topics.ucgis.org/CP-03-010 | Blueprint domain resource: https://geospacebok.eu/TA
2,C,Difficult,21,Analytical Methods & GeoComputation,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? A water utility wants to identify septic systems within 60 m of wells. Which analysis is most appropriate?,D,GIS&T BoK remediation: [AM-02-003] Buffers — https://gistbok-topics.ucgis.org/AM-02-003 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,22,Thematic & Application Domains,"A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. A utility prioritizes aging pipes using failure history, material, soil, and consequence of failure. What is GIS supporting?",A,GIS&T BoK remediation: [DA-004] GIS&T and Civil Engineering — https://gistbok-topics.ucgis.org/DA-004 | Blueprint domain resource: https://geospacebok.eu/TA
2,C,Difficult,23,Design of Systems,The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? Object-oriented programming organizes software primarily around what?,D,GIS&T BoK remediation: [PD-01-021] Object-Oriented Programming in GIS Applications — https://gistbok-topics.ucgis.org/PD-01-021 | Blueprint domain resource: https://geospacebok.eu/DA
2,C,Difficult,24,Analytical Methods & GeoComputation,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. Which LiDAR information is most useful for building a bare-earth DTM beneath vegetation?",B,GIS&T BoK remediation: [AM-04-099] LiDAR Point Cloud Analysis — https://gistbok-topics.ucgis.org/AM-04-099 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,25,Organizational & Institutional Aspects,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? A centralized GIS unit sets standards and hosts enterprise services for multiple departments. What benefit can this provide?",C,GIS&T BoK remediation: [KE-03-033] Organizational Models for GIS Management — https://gistbok-topics.ucgis.org/KE-03-033 | Blueprint domain resource: https://geospacebok.eu/OI
2,C,Difficult,26,"Platforms, Sensors, Physics & Image Processing","A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. Which interpretation cue describes frequency of tonal change, such as smooth water versus coarse forest canopy?",B,GIS&T BoK remediation: [DC-04-012] Fundamentals of Aerial Photo Interpretation — https://gistbok-topics.ucgis.org/DC-04-012 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
2,C,Difficult,27,Cartography & Visualization,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? Hillshade simulates what?,B,GIS&T BoK remediation: [CV-04-014] Terrain Representation — https://gistbok-topics.ucgis.org/CV-04-014 | Blueprint domain resource: https://geospacebok.eu/CV
2,C,Difficult,28,Conceptual Foundations,A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. Why is uncertainty not identical to error?,A,GIS&T BoK remediation: [FC-07-024] Conceptual Models of Error and Uncertainty — https://gistbok-topics.ucgis.org/FC-07-024 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,29,Conceptual Foundations,"The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? A geographic location has meaning because of identity, experience, and attachment. Which concept does this reflect?",A,GIS&T BoK remediation: [FC-03-006] Landscape and Place — https://gistbok-topics.ucgis.org/FC-03-006 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,30,Conceptual Foundations,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. Individual building footprints are most naturally conceptualized as what?",B,GIS&T BoK remediation: GIS&T BoK | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,31,Organizational & Institutional Aspects,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? In this context, which statement most accurately describes GIS governance?",D,GIS&T BoK remediation: [KE-03-021] System Modelling for Effective GIS Management — https://gistbok-topics.ucgis.org/KE-03-021 | Blueprint domain resource: https://geospacebok.eu/OI
2,C,Difficult,32,Geospatial Data,A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. Why is indoor localization difficult for ordinary GNSS?,C,GIS&T BoK remediation: [DC-02-039] Time-of-Arrival (TOA) Localization for Indoor GIS — https://gistbok-topics.ucgis.org/DC-02-039 | Blueprint domain resource: https://geospacebok.eu/GD
2,C,Difficult,33,Cartography & Visualization,"Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? On a phone, which map-interface issue is especially important?",B,GIS&T BoK remediation: [CV-05-040] Mobile Maps and Responsive Design — https://gistbok-topics.ucgis.org/CV-05-040 | Blueprint domain resource: https://geospacebok.eu/CV
2,C,Difficult,34,Data Modeling,"A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. In this context, which statement most accurately describes a logical data model?",D,GIS&T BoK remediation: [DM-01-035] Logical Data Models — https://gistbok-topics.ucgis.org/DM-01-035 | Blueprint domain resource: https://geospacebok.eu/DM
2,C,Difficult,35,Conceptual Foundations,"The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? Why should the arithmetic mean generally not be calculated for land-cover class codes such as 11, 21, and 41?",B,GIS&T BoK remediation: [FC-04-010] GIS Data Properties — https://gistbok-topics.ucgis.org/FC-04-010 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,36,"Platforms, Sensors, Physics & Image Processing","Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. Why can hyperspectral data distinguish materials that appear similar in RGB imagery?",A,GIS&T BoK remediation: [DC-03-031] Hyperspectral Remote Sensing — https://gistbok-topics.ucgis.org/DC-03-031 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
2,C,Difficult,37,Analytical Methods & GeoComputation,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? A semivariogram has a large nugget relative to its sill. What does that often suggest?",B,GIS&T BoK remediation: [AM-04-029] Kriging Interpolation — https://gistbok-topics.ucgis.org/AM-04-029 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,38,Data Modeling,"A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. In this context, which statement most accurately describes a geospatial knowledge graph especially useful for?",B,GIS&T BoK remediation: [DM-01-092] Geospatial Knowledge Graphs — https://gistbok-topics.ucgis.org/DM-01-092 | Blueprint domain resource: https://geospacebok.eu/DM
2,C,Difficult,39,Geospatial Data,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? A scanned historical map has no coordinate reference. What is the first major step to integrate it with modern GIS layers?,B,GIS&T BoK remediation: [DC-02-036] Historical Maps in GIS — https://gistbok-topics.ucgis.org/DC-02-036 | Blueprint domain resource: https://geospacebok.eu/GD
2,C,Difficult,40,Data Modeling,A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. What does First Normal Form primarily require?,B,GIS&T BoK remediation: [DM-01-003] Relational DBMS and their Spatial Extensions — https://gistbok-topics.ucgis.org/DM-01-003 | Blueprint domain resource: https://geospacebok.eu/DM
2,C,Difficult,41,"Platforms, Sensors, Physics & Image Processing",The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? Why is consistent radiometric calibration important in multi-date change detection?,D,GIS&T BoK remediation: [DC-03-032] Landsat — https://gistbok-topics.ucgis.org/DC-03-032 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
2,C,Difficult,42,"Platforms, Sensors, Physics & Image Processing","Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. In this context, which statement most accurately describes geometric correction concerned with?",A,GIS&T BoK remediation: GIS&T BoK | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
2,C,Difficult,43,"Platforms, Sensors, Physics & Image Processing","Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? In this context, which statement most accurately describes unsupervised image classification?",C,GIS&T BoK remediation: [DC-04-014] Feature Extraction from Satellite Imagery — https://gistbok-topics.ucgis.org/DC-04-014 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
2,C,Difficult,44,Thematic & Application Domains,A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. A stormwater engineer wants to delineate drainage areas contributing runoff to inlets. Which workflow is appropriate?,A,GIS&T BoK remediation: [DA-004] GIS&T and Civil Engineering — https://gistbok-topics.ucgis.org/DA-004 | Blueprint domain resource: https://geospacebok.eu/TA
2,C,Difficult,45,Conceptual Foundations,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? Temporal accuracy or currency concerns what?,C,GIS&T BoK remediation: [AM-06-102] Volumes and Space-Time Volumes — https://gistbok-topics.ucgis.org/AM-06-102 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,46,Analytical Methods & GeoComputation,A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. A noisy DEM should be smoothed by replacing each cell with the mean of its 3×3 neighborhood. Which raster operation is appropriate?,D,GIS&T BoK remediation: [AM-02-006] Grid Operations and Map Algebra — https://gistbok-topics.ucgis.org/AM-02-006 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,47,Data Modeling,The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? A crash location is stored as route ID plus distance along the route. What is this referencing approach called?,C,GIS&T BoK remediation: [DM-05-016] Linear Referencing — https://gistbok-topics.ucgis.org/DM-05-016 | Blueprint domain resource: https://geospacebok.eu/DM
2,C,Difficult,48,Organizational & Institutional Aspects,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. In this context, which statement most accurately describes the purpose of a project scope statement?",C,GIS&T BoK remediation: [KE-04-012] GIS&T Project Planning and Management — https://gistbok-topics.ucgis.org/KE-04-012 | Blueprint domain resource: https://geospacebok.eu/OI
2,C,Difficult,49,Conceptual Foundations,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? A world map of population density should prioritize which projection property?",D,GIS&T BoK remediation: [CV-03-006] Map Projections — https://gistbok-topics.ucgis.org/CV-03-006 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,50,Organizational & Institutional Aspects,"A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. In this context, which statement most accurately describes the strongest justification for retiring a legacy GIS workflow?",A,GIS&T BoK remediation: [KE-04-003] Strategic Planning for GIS Design — https://gistbok-topics.ucgis.org/KE-04-003 | Blueprint domain resource: https://geospacebok.eu/OI
2,C,Difficult,51,Data Modeling,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? A quadtree recursively subdivides space into what?,C,"GIS&T BoK remediation: [DM-03-072] Space-driven Structures: Grid, linear quadtree, and z-ordering tree files — https://gistbok-topics.ucgis.org/DM-03-072 | Blueprint domain resource: https://geospacebok.eu/DM"
2,C,Difficult,52,"Platforms, Sensors, Physics & Image Processing",A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. Why is image overlap important for Structure-from-Motion?,A,GIS&T BoK remediation: [DC-04-038] Structure from Motion Photogrammetry — https://gistbok-topics.ucgis.org/DC-04-038 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
2,C,Difficult,53,Geospatial Data,The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? A text post says traffic is stopped near 5th and Market. What must a GIS workflow do before mapping it reliably?,D,GIS&T BoK remediation: [DC-02-037] Texts — https://gistbok-topics.ucgis.org/DC-02-037 | Blueprint domain resource: https://geospacebok.eu/GD
2,C,Difficult,54,Cartography & Visualization,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. Why can mapping raw counts in choropleth polygons be misleading?",D,"GIS&T BoK remediation: [CV-03-005] Statistical Mapping (Enumeration, Normalization, Classification) — https://gistbok-topics.ucgis.org/CV-03-005 | Blueprint domain resource: https://geospacebok.eu/CV"
2,C,Difficult,55,Conceptual Foundations,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? A one-way street edge allows eastbound travel but prohibits westbound travel. What property is being modeled?",A,GIS&T BoK remediation: [FC-05-014] Directional Operations — https://gistbok-topics.ucgis.org/FC-05-014 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,56,Design of Systems,"A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. In this context, which statement most accurately describes inheritance in object-oriented design?",D,GIS&T BoK remediation: [PD-01-021] Object-Oriented Programming in GIS Applications — https://gistbok-topics.ucgis.org/PD-01-021 | Blueprint domain resource: https://geospacebok.eu/DA
2,C,Difficult,57,Analytical Methods & GeoComputation,"Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? A fire department wants polygons representing areas reachable within 4, 8, and 12 minutes from each station. Which analysis is appropriate?",D,GIS&T BoK remediation: [AM-05-043] Location and Service Area Problems — https://gistbok-topics.ucgis.org/AM-05-043 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,58,Web-Based GIS,A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. A web client needs editable vector features with geometry and attributes rather than rendered images. Which service type best fits?,C,GIS&T BoK remediation: [CP-04-014] Web GIS — https://gistbok-topics.ucgis.org/CP-04-014 | Blueprint domain resource: https://geospacebok.eu/WB
2,C,Difficult,59,Analytical Methods & GeoComputation,The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? A disease-rate map has extreme values in areas with very small populations. What should an analyst consider before interpreting clusters?,C,GIS&T BoK remediation: [AM-03-011] Spatial Statistics — https://gistbok-topics.ucgis.org/AM-03-011 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,60,Geospatial Data,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. A field survey stores measurements with many more decimal places than the instrument supports. What is the main concern?",B,"GIS&T BoK remediation: [DM-07-057] Data Evaluation, Metadata, and Data Quality — https://gistbok-topics.ucgis.org/DM-07-057 | Blueprint domain resource: https://geospacebok.eu/GD"
2,C,Difficult,61,Analytical Methods & GeoComputation,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? Observed Ripley’s K values are above the upper simulation envelope from 500 to 1,000 m. What does this indicate?",D,GIS&T BoK remediation: [AM-03-007] Point Pattern Analysis — https://gistbok-topics.ucgis.org/AM-03-007 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,62,Analytical Methods & GeoComputation,A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. A city boundary is overlaid on land-use polygons so all land-use geometry remains but city attributes are transferred where they overlap. Which operation best matches this behavior?,A,GIS&T BoK remediation: [AM-02-004] Overlay — https://gistbok-topics.ucgis.org/AM-02-004 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,63,Geospatial Data,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? Why can longer static GNSS observation sessions improve a survey solution?,D,GIS&T BoK remediation: [DC-02-003] Global Navigation Satellite Systems — https://gistbok-topics.ucgis.org/DC-02-003 | Blueprint domain resource: https://geospacebok.eu/GD
2,C,Difficult,64,Design of Systems,A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. Why is JavaScript central to interactive web mapping?,A,GIS&T BoK remediation: [PD-05-032] JavaScript for GIS — https://gistbok-topics.ucgis.org/PD-05-032 | Blueprint domain resource: https://geospacebok.eu/DA
2,C,Difficult,65,Analytical Methods & GeoComputation,The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? A smooth elevation surface should pass exactly through measured sample points and some overshoot is acceptable. Which method is a good candidate?,B,GIS&T BoK remediation: [AM-04-071] Splines and Radial Basis Functions Interpolation — https://gistbok-topics.ucgis.org/AM-04-071 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,66,Organizational & Institutional Aspects,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. In this context, which statement most accurately describes a requirements traceability matrix useful for?",C,GIS&T BoK remediation: [KE-04-001] The process of GIS&T design — https://gistbok-topics.ucgis.org/KE-04-001 | Blueprint domain resource: https://geospacebok.eu/OI
2,C,Difficult,67,Analytical Methods & GeoComputation,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? Very high values in a flow-accumulation raster usually indicate what?",C,GIS&T BoK remediation: [AM-04-066] Watersheds and Drainage Networks — https://gistbok-topics.ucgis.org/AM-04-066 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,68,Design of Systems,A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. Why does spatial partitioning matter in a distributed spatial join?,A,GIS&T BoK remediation: [CP-04-007] Spatial MapReduce — https://gistbok-topics.ucgis.org/CP-04-007 | Blueprint domain resource: https://geospacebok.eu/DA
2,C,Difficult,69,Analytical Methods & GeoComputation,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? User’s accuracy for a mapped class is low. What does that indicate?,A,GIS&T BoK remediation: [AM-09-104] Thematic Accuracy Assessment — https://gistbok-topics.ucgis.org/AM-09-104 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
2,C,Difficult,70,Data Modeling,A project team is documenting a defensible professional workflow. Several choices could produce related outputs; choose the one that most directly answers the question. A spatial join transfers census-tract attributes to address points based on containment. What drives the match?,C,GIS&T BoK remediation: [DM-04-077] Spatial Joins — https://gistbok-topics.ucgis.org/DM-04-077 | Blueprint domain resource: https://geospacebok.eu/DM
2,C,Difficult,71,Cartography & Visualization,The analyst wants to avoid a method that is merely convenient but does not exactly match the stated spatial or statistical objective. Which answer is best? Why should interactive maps provide visible feedback after user actions?,C,GIS&T BoK remediation: GIS&T BoK | Blueprint domain resource: https://geospacebok.eu/CV
2,C,Difficult,72,Cartography & Visualization,"Choose the most appropriate method given the stated assumptions and intended interpretation, not simply a method that could produce a visually similar result. In this context, which statement most accurately describes cartographic generalization?",B,GIS&T BoK remediation: [CV-03-004] Scale and Generalization — https://gistbok-topics.ucgis.org/CV-03-004 | Blueprint domain resource: https://geospacebok.eu/CV
2,C,Difficult,73,Conceptual Foundations,"Which option would be the strongest methodological choice for this GIS task, recognizing that the alternatives are also legitimate GIS techniques? Which variable is measured on an interval scale rather than a ratio scale?",B,GIS&T BoK remediation: [FC-04-010] GIS Data Properties — https://gistbok-topics.ucgis.org/FC-04-010 | Blueprint domain resource: https://geospacebok.eu/CF
2,C,Difficult,74,Cartography & Visualization,A GIS analyst must choose among several technically plausible approaches. Select the best option for the stated objective. A map icon must remain recognizable at small size. Which design principle helps most?,B,GIS&T BoK remediation: [CV-04-034] Map Icon Design — https://gistbok-topics.ucgis.org/CV-04-034 | Blueprint domain resource: https://geospacebok.eu/CV
2,C,Difficult,75,Geospatial Data,Assume the input data are valid and appropriately projected unless stated otherwise. Which approach best satisfies the analytical requirement? What does orthorectification attempt to remove from aerial or satellite imagery?,C,GIS&T BoK remediation: [DC-01-030] Georeferencing and Georectification — https://gistbok-topics.ucgis.org/DC-01-030 | Blueprint domain resource: https://geospacebok.eu/GD
3,A,Standard,1,Conceptual Foundations,"At a representative fraction of 1:50,000, 2 cm on the map represents how much ground distance?",B,GIS&T BoK remediation: GIS&T BoK | Blueprint domain resource: https://geospacebok.eu/CF
3,A,Standard,2,"Platforms, Sensors, Physics & Image Processing","A sensor records reflected energy in blue, green, red, and near-infrared bands. What type of imagery is this?",A,GIS&T BoK remediation: [DC-03-016] Nature of Multispectral Image Data — https://gistbok-topics.ucgis.org/DC-03-016 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
3,A,Standard,3,Geospatial Data,Geocoding places an address using an address range along a street segment. What method is commonly used?,B,GIS&T BoK remediation: [DC-02-037] Texts — https://gistbok-topics.ucgis.org/DC-02-037 | Blueprint domain resource: https://geospacebok.eu/GD
3,A,Standard,4,Geospatial Data,"A dataset digitized from 1:250,000 maps is displayed at 1:2,000. What is the key caution?",C,"GIS&T BoK remediation: [DM-07-057] Data Evaluation, Metadata, and Data Quality — https://gistbok-topics.ucgis.org/DM-07-057 | Blueprint domain resource: https://geospacebok.eu/GD"
3,A,Standard,5,Cartography & Visualization,"For a very large point dataset, why might aggregation or density surfaces improve visualization?",D,GIS&T BoK remediation: [CV-05-019] Big Data Visualization — https://gistbok-topics.ucgis.org/CV-05-019 | Blueprint domain resource: https://geospacebok.eu/CV
3,A,Standard,6,Organizational & Institutional Aspects,What most clearly distinguishes a GIS developer from a GIS technician?,A,GIS&T BoK remediation: [KE-01-024] GIS&T Positions and Qualifications — https://gistbok-topics.ucgis.org/KE-01-024 | Blueprint domain resource: https://geospacebok.eu/OI
3,A,Standard,7,Organizational & Institutional Aspects,A GIS project keeps adding undocumented requirements without adjusting time or budget. What is this called?,A,GIS&T BoK remediation: [KE-04-012] GIS&T Project Planning and Management — https://gistbok-topics.ucgis.org/KE-04-012 | Blueprint domain resource: https://geospacebok.eu/OI
3,A,Standard,8,Data Modeling,Two editors modify the same feature concurrently. What database issue must be managed?,B,GIS&T BoK remediation: [DM-06-089] Transaction Management — https://gistbok-topics.ucgis.org/DM-06-089 | Blueprint domain resource: https://geospacebok.eu/DM
3,A,Standard,9,Conceptual Foundations,A bearing of 90 degrees corresponds approximately to which cardinal direction?,C,GIS&T BoK remediation: [FC-05-014] Directional Operations — https://gistbok-topics.ucgis.org/FC-05-014 | Blueprint domain resource: https://geospacebok.eu/CF
